Clinic Name,Location,City,Phone,Products & Services
Hibah Shata Specialized Dental Clinic, Dr,"505, Al Wahda Bldg, Port Saeed, Deira",Dubai,04 2977777
Hollywod Smile Clinic,"3018, Block C, Al Razi Bldg, DHCC",Dubai,04 4298228,Dental Clinics
Hollywood Smile Dental Clinic,"Office 102, Al Maha Bldg, Al Diyafah Road, 2nd December Street, Satwa",Dubai,04 3575785,Dental Clinics
Ibn Seina Medical Centre,"Al Owais Bldg, Al Rigga Rd, Deira",Dubai,04 2222222,"Dental Clinics, General Clinics"
Joseph Ghrayeb Medical Centre, Dr,"110, Zabeel Bldg, Near GPO, Karama",Dubai,04 3355555
Jumeira Beach Dental Centre,"Opp Beach Centre, Jumeirah Beach Rd",Dubai,04 3444444,Dental Clinics
Khyber Medical Centre,"Street # 33, Al Maktoum Hospital Road, Naif, Deira",Dubai,058 5111111,"Dental Clinics, General Clinics"
La Perla Dental Clinic DMCC,"904, JBC 2 Tower, Jumeirah Lake Towers (JLT)",Dubai,04 4355678,"Dental Clinics, Dental Implant, Dental Laser"
Leila Hariri Dental & Medical Aesthetics,"Villa 410, Al Wasl Road, Jumeirah",Dubai,04 3444444,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
Luxe Dental Clinic,"Near Spinneys S/Market, Al Diyafah, Mina Rashid Rd, Satwa",Dubai,04 3575785,"Dental Clinics, Dental Doctors, Cosmetic Dentists"
Majed Al Azawi Orthodontic and Dental Center, Dr,"Popeyes Bldg, Rigga St, Deira",Dubai,04 2222222
McBody Clinic LLC,"Villa 412, Al Wasl Rd, Jumeirah 2",Dubai,04 3888888,"Dental Clinics, Clinics, Cosmetic Surgery Clinics"
Modern Dental Clinic,"Block 18, Knowledge Village",Dubai,04 3635367,"Dental Clinics, Cosmetic Surgery Clinics"
Mohamed Iqbal Homeopathiq Medical Center,Development Board Bldg, Karama,Dubai,04 3977555
Pearl Medical Clinic,"103 & 104, Jesco S/Market Bldg, Opp HSBC, Nasr Square, Deira",Dubai,04 2222222,"Dental Clinics, Dental Implant, Dental Laser"
Pretty Smile Dental Clinic,"M-05, Al Meraikhi Tower, Sh Zayed Rd",Dubai,04 8888888,Dental Clinics
Providence Dental Centre,"115, Belshalat Bldg, Near Al Attar Mall, Karama",Dubai,04 3977555,Dental Clinics
Reveal Medical Center,"401, Elite Business Centre Community, 373 Street 3, Al Barsha 1",Dubai,04 3855555,Dental Clinics
Samaa Medical Centre,"Villa 654, Near Safa Park, Al Wasl St, Jumeirah 3",Dubai,04 3944444,"Dental Clinics, Multispecialty Clinics, Specialized Clinic"
Sameday Dental Implants,"Villa 733, Jumeirah Rd, Umm Suqeim 2",Dubai,04 3156000,Dental Clinics
Seven Dental Centre,"Next to Wollongong University, Jumeirah Beach Rd",Dubai,04 3944444,Dental Clinics
Sky Clinic Dental Center JLT,City : Dubai,Dubai,04 3555555,Dental Clinics
Smile Care Clinic,"Villa 302, Al Wasl Rd, Jumeirah 1",Dubai,04 3444444,Dental Clinics
Swaid Orthodontic Clinic,"Opp Mercato Mall, Off Jumeirah Beach Rd, Jumeirah",Dubai,04 3444444,"Dental Clinics, Cosmetic Surgery Clinics, Dental Doctors"
Talass Orthodontic and Dental Center,"Villa No 1, Opp Dubai Zoo, Jumeirah Beach Rd",Dubai,04 3444444,Dental Clinics
The Dental Center FZ LLC,"4019, Block F, Al Raazi Bldg, Dubai Health Care City",Dubai,04 3755391,Dental Clinics
Top Smile Dental Clinic,"Shop No 2, Ground Floor Sultan Business Center, Oud Metha",Dubai,058 5111111,Dental Clinics
Unique Smile Clinic,Deira,Dubai,04 2522222,Dental Clinics
White Smile Dental Clinic,Al Nahda 2,Dubai,04 2522222,Dental Clinics
Ahlan Medical Center,"Al Jabri Building, Al Nahda Sharjah, Opp Sahara Centre",Sharjah,06 5533333,Dental Clinics
Al Afdal Medical Centre,"Al Mahatta, Qasmiya",Sharjah,06 5533333,"Dental Clinics, Medical Centres"
Al Jawhara Medical Center,"16, Al Bana Bldg, Jamal Abdul Nasser Rd",Sharjah,06 5533333,Dental Clinics
Al Waha Medical Centre,"Opp Baby Park Center, Serkal Building, Main Road, Al Mujarrah",Sharjah,056 9111111,"Dental Clinics, Teeth Whitening, Tooth Extraction"
Alraid Modern Medical Center,"Flat no 204, Al Ghadeer Building, Jamal Abdul Naser Street",Sharjah,06 5533333,"Dental Clinics, Cosmetic Surgery Clinics, Medical Centres"
Doctors Medical Centre,"Thomas Cook Al Rostamani Bldg, Al Arouba St, Rolla",Sharjah,06 5633333,Dental Clinics
Dr. Ahmed Yousry Specialized Dental Clinic,"Flat 505, 5th Floorm BelResheed Tower-1, Al Majaz",Sharjah,06 5733333,Dental Clinics
German Pearl Specialist Dental Clinic,"Flat No 1303, 13th Floor, Bel Rasheed Building, Phoenix St",Sharjah,06 5733333,Dental Clinics
Hannover Medical Center,"Office Number 301, ASAS Tower, Al Khan Corniche",Sharjah,06 5433333,"Dental Clinics, Medical Centres, Aesthetics Wellness Clinic"
Mouen Junblat Medical Centre, Dr,"15, Union Pharmacy Bldg, Jamal Abdul Nasser St",Sharjah,06 5533333
Nahar Mampilly Medical Centre,"Near Cricket Stadium, Al Shahba",Sharjah,06 5633333,"Dental Clinics, Ear Nose and Throat-ENT Clinics, Ophthalmology Clinics"
New Canadian Dental Clinic,"10, Yousufi Bldg, Al Majaz Park Southern St, Corniche St",Sharjah,06 5533333,Dental Clinics
Shanthi Medical Centre,"Al Buhaira Building, Al Esiqlal Street, Abu Shagara",Sharjah,06 5533333,"Dental Clinics, Gynecology Clinics, Homeopathy Clinics"
CosmeSurge,"Near Coral Beach Hotel, Corniche Rd",Sharjah,06 5233333,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
Advanced American Dental Center,"Near American Community School, Bateen",Abu Dhabi,02 6811111,Dental Clinics
Al Dahbi Medical Centre,"1st Flr, Post Office Bldg, M 10, Mussafah",Abu Dhabi,02 5555555,"Dental Clinics, General Clinics"
Al Dana Medical and Dental Centre,"M-6, Natl Cinema Bldg, Najda St",Abu Dhabi,02 6777777,"Dental Clinics, General Clinics"
Al Dhabi Dental Clinic LLC,"Office No.10, 4Building 253. Shabiya 10, Yaroush Street, Mohamed Bin Zayed City",Abu Dhabi,02 5555555,"Dental Clinics, Dental Treatment, Dental Implant"
Al Farooq Medical and Dental Center,"Near ADCB, Khalidiya St",Abu Dhabi,02 6666666,Dental Clinics
Al Jundi Orthodontic Clinic, Dr,"Zayed 1st St, Khalidiya",Abu Dhabi,02 6666666
Al Kamal Medical Centre,"Block 'B', Al Jernain Tower, Khalidiya",Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
Al Kenan Dental Clinic,"Floor O,C 13, Liwa Centre, Hamdan St, Al Markaziyah",Abu Dhabi,02 6333333,"Dental Clinics, Dental Doctors, Dental Orthodontics"
Al Noaman Dental Centre,"Near All Prints Bldg, Al Nasr St",Abu Dhabi,02 6333333,Dental Clinics
Al Safwa Specialized Dental Clinic,"603, Marjan Plaza, Opp Hamdan Centre, Hamdan St",Abu Dhabi,02 6222222,Dental Clinics
Al Thuraya Dental and Implant Center,"Airport Rd, Delma St",Abu Dhabi,02 4444444,Dental Clinics
Al Worood Medical and Dental Center,"203, NEXT Bldg, Najda St",Abu Dhabi,02 6333333,Dental Clinics
American Dental Center,"305, Mothercare Building, Office # 305, Hamdan Street, Al Markaziyah, Abu Dhabi City",Abu Dhabi,02 6222222,Dental Clinics
Appolonia Dental Center,"K M Trading Bldg, Opp Sheraton Residence, Khalidiya",Abu Dhabi,02 6666666,Dental Clinics
Barbara Orthodontic And Dental Polyclinic,"El Etihad Bldg, Bhnd NBAD Bldg, Khalifa St",Abu Dhabi,02 6222222,"Dental Clinics, Dental Doctors, Dental Orthodontics"
British Dental Clinic,"3rd Flr, Bin Ham Bldg, Hamdan St",Abu Dhabi,02 6777777,Dental Clinics
Care Well Medical Centre,"1st Flr, Natl Cinema Bldg, Najda St",Abu Dhabi,02 6777777,"Dental Clinics, General Clinics, General Doctors"
Daou Dental Centre,"3, Avis Bldg, Opp ABN Amro Bank, Istiqlal St",Abu Dhabi,02 6333333,Dental Clinics
Duo Prime Care Medical Center Sole Proprietorship LLC,"M 1, Building 9, Opp KM Trading, Ar Rasin 2 St, Musaffah, Sanaiyah",Abu Dhabi,02 5555555,"Dental Clinics, Internal Medicine Clinic, Thyroid Clinic"
Elitecare Medical Center,"1st Floor, Al Falah Tower, Muroor Road",Abu Dhabi,02 5667788,"Dental Clinics, Dermatology Clinics"
France Dental and Orthodontics Clinic,"M Bldg, DHL Bldg, Near Pan Emirates Furniture, Airport Rd",Abu Dhabi,02 6333333,Dental Clinics
French Dental & Aesthetic Center,Khalifa St,Abu Dhabi,02 4444444,Dental Clinics
Gentle Dental Care Centre,"Villa no 6, Junction of Al Bateen and Delma(13) street",Abu Dhabi,02 6777777,Dental Clinics
Grace Medical Center,"Villa 408, Near Japanese Embassy, 26th St, Al Roda, Khalidiya",Abu Dhabi,02 4444444,"Dental Clinics, Hospitals"
Haddad Medical and Dental Center,"208, BHS Building, Hamdan Street",Abu Dhabi,02 6333333,Dental Clinics
Hikma Medical Centre,Abu Dhabi Co-op Society Bldg, Hamdan St,Abu Dhabi,02 6777777
Hyderabad Medical Centre,"101, Bin Dahim Tower, Opp Liwa Centre, Hamdan St",Abu Dhabi,02 6222222,"Dental Clinics, General Clinics"
Ideal Medical Center LLC,"Beside Omeir Travel Bldg, Liwa St",Abu Dhabi,02 6222222,Dental Clinics
Jeiroudi Orthodontic Centre,"M 04, Mashreqbank Bldg, Khalidiyah St",Abu Dhabi,02 6666666,Dental Clinics
Kalloor Medical Centre,"Near Istanbul Rest, Al Falah St",Abu Dhabi,02 6333333,Dental Clinics
Lilac Medical Centre,Abu Dhabi,Abu Dhabi,02 2222222,Dental Clinics
Maher Dental Centre,"102, Mercedes Bldg, Corniche Rd",Abu Dhabi,02 6666666,Dental Clinics
Middle East Specialised Medical Centre,"Opp Emirates Media, Muroor Rd",Abu Dhabi,02 4444444,"Dental Clinics, Corporate Health Packages Clinics, General Clinics"
Modern German Dental Clinic,"C6/101, Al Bateen Complex, Bainuna St, Buteen",Abu Dhabi,02 6666666,Dental Clinics
Mubarak Shaikh's Medical Centre, Dr,"105, Alya Pharmacy Bldg, Electra St",Abu Dhabi,02 6222222
New National Medical Centre LLC,"Shabiya Khalifa 10, Musaffah",Abu Dhabi,02 5555555,"Dental Clinics, General Clinics, Multispecialty Clinics"
Noble Medical Centre,"G Flr, Shadow Furniture Bldg, Hamdan St",Abu Dhabi,02 6333333,Dental Clinics
Nora Medical Centre,"601, Arab Udipi Bldg, Old Airport Rd",Abu Dhabi,02 6444444,"Dental Clinics, General Clinics"
Oais's Braces Center,"304, 'Next' Bldg, Najda St",Abu Dhabi,02 6333333,Dental Clinics
Ocean Dental and Orthodontic Center,Khalidiya,Abu Dhabi,02 6333333,Dental Clinics
Paris Dental Center,"M, Safari Fashion & Abu Dhabi Coop Bldg, Hamdan St",Abu Dhabi,02 6777777,"Dental Clinics, Dental Doctors"
Pearly Smile Dental Clinic,"M04 Mezzanine Floor, New Awqaf Bldg, Khalidiya Street",Abu Dhabi,02 6333333,Dental Clinics
Petra Medical Care Centre,"M2, Escape Tower Building, Golden Camera Photography, Muroor Road",Abu Dhabi,02 6444444,Dental Clinics
Rocco's Specialized Dental Clinic, Dr,"2nd Flr, Al Muhairy Shopping Centre, Khalidiya",Abu Dhabi,02 6333333
Royal Specialist Medical Centre,"M Flr, Royal Pharmacy Bldg, Next to Choithram S/Market, Khalidiya",Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
Royal Specialized Dental Clinic,Near Airlines Restaurant, Electra St,Abu Dhabi,02 6333333
Specialized Dental & Orthodontic,City : Abu Dhabi,Abu Dhabi,02 4444444,Dental Clinics
Style Smile Advanced Dental Center,"Beside NBAD, Corniche Rd",Abu Dhabi,02 6666666,Dental Clinics
Suweihan Medical and Dental Centre,United Bank Bldg, Opp Hamdan Centre,Abu Dhabi,02 6222222
Taj Dental Centre,"M-03, Al Ain Jewellery Bldg, Near Lari Exchange, Liwa St",Abu Dhabi,02 6222222,Dental Clinics
Talat Medical Centre and Pharmacy,"Near Fatima S/Market, Old Passport Rd",Abu Dhabi,02 6444444,"Dental Clinics, General Clinics, General Doctors"
Zenith Medical and Dental Centre,"307, Sultaco Bldg, Al Najda St",Abu Dhabi,02 6222222,Dental Clinics
CosmeSurge,"Opp PWD, Delma St",Abu Dhabi,02 4444444,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
