#,Clinic Name,City,Phone (raw),Services
35,Talass Orthodontic and Dental Center,Dubai,04 3444444,Dental Clinics
36,The Dental Center FZ LLC,Dubai,04 3755391,Dental Clinics
37,Top Smile Dental Clinic,Dubai,058 5111111,Dental Clinics
38,Unique Smile Clinic,Dubai,04 2522222,Dental Clinics
39,White Smile Dental Clinic,Dubai,04 2522222,Dental Clinics
40,Ahlan Medical Center,Sharjah,06 5533333,Dental Clinics
41,Al Afdal Medical Centre,Sharjah,06 5533333,"Dental Clinics, Medical Centres"
42,Al Jawhara Medical Center,Sharjah,06 5533333,Dental Clinics
43,Al Waha Medical Centre,Sharjah,056 9111111,"Dental Clinics, Teeth Whitening, Tooth Extraction"
44,Alraid Modern Medical Center,Sharjah,06 5533333,"Dental Clinics, Cosmetic Surgery Clinics, Medical Centres"
45,Doctors Medical Centre,Sharjah,06 5633333,Dental Clinics
46,Dr. Ahmed Yousry Specialized Dental Clinic,Sharjah,06 5733333,Dental Clinics
47,German Pearl Specialist Dental Clinic,Sharjah,06 5733333,Dental Clinics
48,Hannover Medical Center,Sharjah,06 5433333,"Dental Clinics, Medical Centres, Aesthetics Wellness Clinic"
49,Mouen Junblat Medical Centre,"15, Union Pharmacy Bldg, Jamal Abdul Nasser St",Sharjah,06 5533333
50,Nahar Mampilly Medical Centre,Sharjah,06 5633333,"Dental Clinics, Ear Nose and Throat-ENT Clinics, Ophthalmology Clinics"
51,New Canadian Dental Clinic,Sharjah,06 5533333,Dental Clinics
52,Shanthi Medical Centre,Sharjah,06 5533333,"Dental Clinics, Gynecology Clinics, Homeopathy Clinics"
53,Advanced American Dental Center,Abu Dhabi,02 6811111,Dental Clinics
54,Al Dahbi Medical Centre,Abu Dhabi,02 5555555,"Dental Clinics, General Clinics"
55,Al Dana Medical and Dental Centre,Abu Dhabi,02 6777777,"Dental Clinics, General Clinics"
56,Al Dhabi Dental Clinic LLC,Abu Dhabi,02 5555555,"Dental Clinics, Dental Treatment, Dental Implant"
57,Al Farooq Medical and Dental Center,Abu Dhabi,02 6666666,Dental Clinics
58,Al Jundi Orthodontic Clinic,"Zayed 1st St, Khalidiya",Abu Dhabi,02 6666666
59,Al Kamal Medical Centre,Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
60,Al Kenan Dental Clinic,Abu Dhabi,02 6333333,"Dental Clinics, Dental Doctors, Dental Orthodontics"
61,Al Noaman Dental Centre,Abu Dhabi,02 6333333,Dental Clinics
62,Al Safwa Specialized Dental Clinic,Abu Dhabi,02 6222222,Dental Clinics
63,Al Thuraya Dental and Implant Center,Abu Dhabi,02 4444444,Dental Clinics
64,Al Worood Medical and Dental Center,Abu Dhabi,02 6333333,Dental Clinics
65,American Dental Center,Abu Dhabi,02 6222222,Dental Clinics
66,Appolonia Dental Center,Abu Dhabi,02 6666666,Dental Clinics
67,Barbara Orthodontic And Dental Polyclinic,Abu Dhabi,02 6222222,"Dental Clinics, Dental Doctors, Dental Orthodontics"
68,Care Well Medical Centre,Abu Dhabi,02 6777777,"Dental Clinics, General Clinics, General Doctors"
69,Daou Dental Centre,Abu Dhabi,02 6333333,Dental Clinics
70,Duo Prime Care Medical Center Sole Proprietorship LLC,Abu Dhabi,02 5555555,"Dental Clinics, Internal Medicine Clinic, Thyroid Clinic"
71,Elitecare Medical Center,Abu Dhabi,02 5667788,"Dental Clinics, Dermatology Clinics"
72,France Dental and Orthodontics Clinic,Abu Dhabi,02 6333333,Dental Clinics
73,French Dental & Aesthetic Center,Abu Dhabi,02 4444444,Dental Clinics
74,Gentle Dental Care Centre,Abu Dhabi,02 6777777,Dental Clinics
75,Grace Medical Center,Abu Dhabi,02 4444444,"Dental Clinics, Hospitals"
76,Haddad Medical and Dental Center,Abu Dhabi,02 6333333,Dental Clinics
77,Hikma Medical Centre, Hamdan St,Abu Dhabi,02 6777777
78,Hyderabad Medical Centre,Abu Dhabi,02 6222222,"Dental Clinics, General Clinics"
79,Ideal Medical Center LLC,Abu Dhabi,02 6222222,Dental Clinics
80,Jeiroudi Orthodontic Centre,Abu Dhabi,02 6666666,Dental Clinics
81,Kalloor Medical Centre,Abu Dhabi,02 6333333,Dental Clinics
82,Lilac Medical Centre,Abu Dhabi,02 2222222,Dental Clinics
83,Maher Dental Centre,Abu Dhabi,02 6666666,Dental Clinics
84,Middle East Specialised Medical Centre,Abu Dhabi,02 4444444,"Dental Clinics, Corporate Health Packages Clinics, General Clinics"
85,Modern German Dental Clinic,Abu Dhabi,02 6666666,Dental Clinics
86,Mubarak Shaikh's Medical Centre,"105, Alya Pharmacy Bldg, Electra St",Abu Dhabi,02 6222222
87,New National Medical Centre LLC,Abu Dhabi,02 5555555,"Dental Clinics, General Clinics, Multispecialty Clinics"
88,Noble Medical Centre,Abu Dhabi,02 6333333,Dental Clinics
89,Nora Medical Centre,Abu Dhabi,02 6444444,"Dental Clinics, General Clinics"
90,Oais's Braces Center,Abu Dhabi,02 6333333,Dental Clinics
91,Ocean Dental and Orthodontic Center,Abu Dhabi,02 6333333,Dental Clinics
92,Paris Dental Center,Abu Dhabi,02 6777777,"Dental Clinics, Dental Doctors"
93,Pearly Smile Dental Clinic,Abu Dhabi,02 6333333,Dental Clinics
94,Petra Medical Care Centre,Abu Dhabi,02 6444444,Dental Clinics
95,Rocco's Specialized Dental Clinic,"2nd Flr, Al Muhairy Shopping Centre, Khalidiya",Abu Dhabi,02 6333333
96,Royal Specialist Medical Centre,Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
97,Royal Specialized Dental Clinic, Electra St,Abu Dhabi,02 6333333
98,Specialized Dental & Orthodontic,Abu Dhabi,02 4444444,Dental Clinics
99,Style Smile Advanced Dental Center,Abu Dhabi,02 6666666,Dental Clinics
100,Suweihan Medical and Dental Centre, Opp Hamdan Centre,Abu Dhabi,02 6222222
101,Taj Dental Centre,Abu Dhabi,02 6222222,Dental Clinics
102,Talat Medical Centre and Pharmacy,Abu Dhabi,02 6444444,"Dental Clinics, General Clinics, General Doctors"
103,Zenith Medical and Dental Centre,Abu Dhabi,02 6222222,Dental Clinics
