Clinic Name,Location,City,Phone,Products & Services
Gonzales Dental Clinic,"111, B Block, Hilal Bin Taraf Bldg, Opp GPO, Karama",Dubai,04 3977555,Dental Clinics
Gravity Dental Poly Clinic,"Ghazal Restaurant Building, Al Murjan Tower, 403 Amman Street, Al Nahda 2",Dubai,050 5111111,Dental Clinics
Gulf Medical Centre,"Near Dnata, Opp Nissan S/R, Al Ittihad Rd, Deira",Dubai,04 2626000,"Dental Clinics, General Clinics, Hospitals"
Hadi Clinic,"204, Al Wuhaida Bldg, Deira",Dubai,04 2977777,"Dental Clinics, Dental Doctors"
Hadiya Dental Center,"Unit B01, Samari Retail, Ras Al Khor",Dubai,04 2898888,Dental Clinics
Hamly Medical Centre,"207, Montana Bldg, Karama",Dubai,04 3355555,"Dental Clinics, Dental Doctors"
Harmony Medical Center LLC,"Villa 491C-D94, Jumeirah Third, Jumeirah",Dubai,04 3944444,Dental Clinics
Hasan Achira Dentist, Dr,"203, Rashed Pharmacy Bldg, Riqqa St, Deira",Dubai,04 2222222,Dental Clinics
Hellenic Dental Clinic,"Villa G4 U1, Al Wasl Road, Jumeirah 1",Dubai,04 3444444,Dental Clinics
Helmi's Specialized Implantology and Dental Center, Dr,"M 13, Arabilla Bldg, Abv Dubai Bank, Al Whida St, Deira",Dubai,04 2666666,Dental Clinics
Hey Dental Clinic DMCC,"106 & 105, Goldcrest Executive Business Tower, Cluster C, Jumeirah Lake Towers",Dubai,04 4567890,Dental Clinics
Hibah Shata Specialized Dental Clinic, Dr,"505, Al Wahda Bldg, Port Saeed, Deira",Dubai,04 2977777,Dental Clinics
Hollywod Smile Clinic,"3018, Block C, Al Razi Bldg, DHCC",Dubai,04 4298228,Dental Clinics
Hollywood Smile Dental Clinic,"Office 102, Al Maha Bldg, Al Diyafah Road, 2nd December Street, Satwa",Dubai,04 3575785,Dental Clinics
Houston Clinic,Al Barsha,Dubai,04 3855555,Dental Clinics
Hussam Dental Clinic,"16M, Umm Hureir Bldg, Zabeel Rd",Dubai,04 3355555,Dental Clinics
Ibn Seina Medical Centre,"Al Owais Bldg, Al Rigga Rd, Deira",Dubai,04 2222222,"Dental Clinics, General Clinics"
Ibrahim Arab (Dr) Dental Clinic,"Al Rigga Rd, Deira",Dubai,04 2222222,Dental Clinics
Ilham Dental Clinic,"Beside Port Saeed Mosque, Rigga St, Deira",Dubai,04 2944444,Dental Clinics
International Dental Clinic,"1001, Al Hawai Tower, Sh Zayed Rd",Dubai,04 3433315,Dental Clinics
Jack Dental Clinic, Dr,"111, Baniyas Complex, Nasr Sq, Deira",Dubai,04 2222222,Dental Clinics
John Dental Clinic, Dr,"303, Comml Bank Bldg, Opp Union Co-op Society, Al Ghusais",Dubai,04 2666666,Dental Clinics
Joseph Ghrayeb Medical Centre, Dr,"110, Zabeel Bldg, Near GPO, Karama",Dubai,04 3355555,Dental Clinics
Jumeira Beach Dental Centre,"Opp Beach Centre, Jumeirah Beach Rd",Dubai,04 3444444,Dental Clinics
Khyber Medical Centre,"Street # 33, Al Maktoum Hospital Road, Naif, Deira",Dubai,058 5111111,"Dental Clinics, General Clinics"
La Perla Dental Clinic DMCC,"904, JBC 2 Tower, Jumeirah Lake Towers (JLT)",Dubai,04 4355678,"Dental Clinics, Dental Implant, Dental Laser"
Leila Hariri Dental & Medical Aesthetics,"Villa 410, Al Wasl Road, Jumeirah",Dubai,04 3444444,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
Liberty Dental Clinic,"Opp HSBC, Jumeirah",Dubai,04 3944444,Dental Clinics
Lookswoos Dental Clinic,"The Dubai Mall, Ground Floor GF 260, Next to Galleries Lafayette",Dubai,04 4444444,Dental Clinics
Luxe Dental Clinic,"Near Spinneys S/Market, Al Diyafah, Mina Rashid Rd, Satwa",Dubai,04 3575785,"Dental Clinics, Dental Doctors, Cosmetic Dentists"
Mahboubi Poly Dental Clinic,"176, Al Wasl Rd, Jumeirah",Dubai,04 3444444,"Dental Clinics, Dental Doctors"
Majed Al Azawi Orthodontic and Dental Center, Dr,"Popeyes Bldg, Rigga St, Deira",Dubai,04 2222222,Dental Clinics
Mallya's Dental Clinic, Dr,"25, Al Abbas Bldg, Bank St, Bur Dubai",Dubai,04 3555555,Dental Clinics
McBody Clinic LLC,"Villa 412, Al Wasl Rd, Jumeirah 2",Dubai,04 3888888,"Dental Clinics, Clinics, Cosmetic Surgery Clinics"
Mehrish Medical Clinic,City : Dubai,Dubai,04 3211111,Dental Clinics
Michael's Dental Clinic, Dr,"Opp Jumeirah Post Office, Al Wasl Rd, Jumeirah 2",Dubai,04 3444444,"Dental Clinics, Dental Doctors"
Modern Dental Clinic,"Block 18, Knowledge Village",Dubai,04 3635367,"Dental Clinics, Cosmetic Surgery Clinics"
Mohamed Iqbal Homeopathiq Medical Center,Development Board Bldg, Karama,Dubai,04 3977555,"Dental Clinics, Homeopathy Clinics"
Mohd Imad Dental Clinic, Dr,"1, Saif Bldg, Hatta Rd",Dubai,04 8522222,Dental Clinics
Munich Dental Clinic,"2nd Flr, Al Diyafah Centre, Satwa",Dubai,04 3444444,Dental Clinics
Nasser Najaf Pour Dental Clinic, Dr,"Abu Baker Al Siddique St, Hor Al Anz",Dubai,04 2622222,Dental Clinics
Newyork Dental Clinic,"Opp Jumeirah Beach Club, Jumeirah Beach Rd",Dubai,04 3444444,Dental Clinics
Pearl Medical Clinic,"103 & 104, Jesco S/Market Bldg, Opp HSBC, Nasr Square, Deira",Dubai,04 2222222,"Dental Clinics, Dental Implant, Dental Laser"
Pretty Smile Dental Clinic,"M-05, Al Meraikhi Tower, Sh Zayed Rd",Dubai,04 8888888,Dental Clinics
Providence Dental Centre,"115, Belshalat Bldg, Near Al Attar Mall, Karama",Dubai,04 3977555,Dental Clinics
Ravari's Dental Clinic, Dr,"104, Al Aman House, Port Saeed, Deira",Dubai,04 2944444,Dental Clinics
Reveal Medical Center,"401, Elite Business Centre Community, 373 Street 3, Al Barsha 1",Dubai,04 3855555,Dental Clinics
Samaa Medical Centre,"Villa 654, Near Safa Park, Al Wasl St, Jumeirah 3",Dubai,04 3944444,"Dental Clinics, Multispecialty Clinics, Specialized Clinic"
Sameday Dental Implants,"Villa 733, Jumeirah Rd, Umm Suqeim 2",Dubai,04 3156000,Dental Clinics
Sansaya Clinic,City : Dubai,Dubai,04 3944444,Dental Clinics
Scandinavian Dental Clinic,"Villa 71, Al Wasl Rd, Jumeirah",Dubai,04 3444444,Dental Clinics
Seven Dental Centre,"Next to Wollongong University, Jumeirah Beach Rd",Dubai,04 3944444,Dental Clinics
Shams Moopen's Dental Practice,"Near Al Razouki Exchange, Opp Lulu S/Market, Karama",Dubai,04 3355555,"Dental Clinics, Dental Doctors"
Sky Clinic Dental Center JLT,City : Dubai,Dubai,04 3555555,Dental Clinics
Smile Care Clinic,"Villa 302, Al Wasl Rd, Jumeirah 1",Dubai,04 3444444,Dental Clinics
Swaid Orthodontic Clinic,"Opp Mercato Mall, Off Jumeirah Beach Rd, Jumeirah",Dubai,04 3444444,"Dental Clinics, Cosmetic Surgery Clinics, Dental Doctors"
Swedish Dental Clinic,"3rd Flr, NASA Bldg, Al Maktoum St, Deira",Dubai,04 2222222,"Dental Clinics, General Clinics"
Swiss Dental Clinic,Crowne Plaza Comml Tower, Sh Zayed Rd,Dubai,04 3322226,Dental Clinics
Talass Orthodontic and Dental Center,"Villa No 1, Opp Dubai Zoo, Jumeirah Beach Rd",Dubai,04 3444444,Dental Clinics
The Dental Center FZ LLC,"4019, Block F, Al Raazi Bldg, Dubai Health Care City",Dubai,04 3755391,Dental Clinics
Top Smile Dental Clinic,"Shop No 2, Ground Floor Sultan Business Center, Oud Metha",Dubai,058 5111111,Dental Clinics
Trucare Clinic,"Shop 1, Ajyal Building. Al Barsha",Dubai,04 3455555,"Dental Clinics, Dermatology Clinics"
Unique Smile Clinic,Deira,Dubai,04 2522222,Dental Clinics
Versailles Dental Clinic,"Suite 1006, 1st Flr, Complex 64, Block A, Al Razi Medical, Dubai Healthcare City",Dubai,04 4298228,Dental Clinics
Vitalix Polyclinic,"Crystal Building, 21 Al Maktoum Hospital Road, Baniyas Road, Deira",Dubai,052 9111111,Dental Clinics
White Smile Dental Clinic,Al Nahda 2,Dubai,04 2522222,Dental Clinics
