Clinic Name,Location,City,Phone,Products & Services
Elitecare Medical Center,"1st Floor, Al Falah Tower, Muroor Road",Abu Dhabi,02 5667788,"Dental Clinics, Dermatology Clinics"
Family Dental Clinic,"301, Green Tower, Khalifa St",Abu Dhabi,02 6222222,Dental Clinics
France Dental and Orthodontics Clinic,"M Bldg, DHL Bldg, Near Pan Emirates Furniture, Airport Rd",Abu Dhabi,02 6333333,Dental Clinics
French Dental & Aesthetic Center,Khalifa St,Abu Dhabi,02 4444444,Dental Clinics
Gentle Dental Care Centre,"Villa no 6, Junction of Al Bateen and Delma(13) street",Abu Dhabi,02 6777777,Dental Clinics
Grace Medical Center,"Villa 408, Near Japanese Embassy, 26th St, Al Roda, Khalidiya",Abu Dhabi,02 4444444,"Dental Clinics, Hospitals"
Haddad Medical and Dental Center,"208, BHS Building, Hamdan Street",Abu Dhabi,02 6333333,Dental Clinics
Hakeem Dental Clinic,Hamdan St,Abu Dhabi,02 6777777,Dental Clinics
Hikma Medical Centre,Abu Dhabi Co-op Society Bldg, Hamdan St,Abu Dhabi,02 6777777,Dental Clinics
Hyderabad Medical Centre,"101, Bin Dahim Tower, Opp Liwa Centre, Hamdan St",Abu Dhabi,02 6222222,"Dental Clinics, General Clinics"
Ideal Medical Center LLC,"Beside Omeir Travel Bldg, Liwa St",Abu Dhabi,02 6222222,Dental Clinics
Jeiroudi Orthodontic Centre,"M 04, Mashreqbank Bldg, Khalidiyah St",Abu Dhabi,02 6666666,Dental Clinics
Kalloor Medical Centre,"Near Istanbul Rest, Al Falah St",Abu Dhabi,02 6333333,Dental Clinics
Kauther Al Waidh Dental Clinic, Dr,"M Flr, Mawavel Rest Bldg, Al Falah St",Abu Dhabi,02 6333333,Dental Clinics
Lilac Medical Centre,Abu Dhabi,Abu Dhabi,02 2222222,Dental Clinics
Lotus Dental Clinic,"Next to Petrol Pump, Al Falah St",Abu Dhabi,02 6444444,Dental Clinics
Maher Dental Centre,"102, Mercedes Bldg, Corniche Rd",Abu Dhabi,02 6666666,Dental Clinics
Mahmoud Al Mahgary Clinic, Dr,"101, Butti Al Otaiba Bldg, Khalifa St",Abu Dhabi,02 6222222,Dental Clinics
Manchester Dental Clinic,"M 03, Mashreqbank Bldg, Khalidiya",Abu Dhabi,02 6666666,Dental Clinics
Maribel Dental Clinic,"104, Jumbo Elect Bldg, Al Muroor St",Abu Dhabi,02 6444444,Dental Clinics
Marina Dental Clinic,"M 02, SFC Bldg, Next to Lulu Centre Bldg, Salam St",Abu Dhabi,02 6777777,Dental Clinics
Middle East Specialised Medical Centre,"Opp Emirates Media, Muroor Rd",Abu Dhabi,02 4444444,"Dental Clinics, Corporate Health Packages Clinics, General Clinics"
Modern German Dental Clinic,"C6/101, Al Bateen Complex, Bainuna St, Buteen",Abu Dhabi,02 6666666,Dental Clinics
Mousa J Al Silwadi, Dr,"105, Next S/Room Bldg, Opp KFC, Hamdan St",Abu Dhabi,02 6333333,Dental Clinics
Mubarak Shaikh's Medical Centre, Dr,"105, Alya Pharmacy Bldg, Electra St",Abu Dhabi,02 6222222,"Dental Clinics, General Clinics"
National Hospital LLC,New Al Najda St,Abu Dhabi,02 6777777,"Dental Clinics, Ear Nose and Throat-ENT Clinics"
New National Medical Centre LLC,"Shabiya Khalifa 10, Musaffah",Abu Dhabi,02 5555555,"Dental Clinics, General Clinics, Multispecialty Clinics"
Noble Medical Centre,"G Flr, Shadow Furniture Bldg, Hamdan St",Abu Dhabi,02 6333333,Dental Clinics
Nora Medical Centre,"601, Arab Udipi Bldg, Old Airport Rd",Abu Dhabi,02 6444444,"Dental Clinics, General Clinics"
Oais's Braces Center,"304, 'Next' Bldg, Najda St",Abu Dhabi,02 6333333,Dental Clinics
Ocean Dental and Orthodontic Center,Khalidiya,Abu Dhabi,02 6333333,Dental Clinics
Paris Dental Center,"M, Safari Fashion & Abu Dhabi Coop Bldg, Hamdan St",Abu Dhabi,02 6777777,"Dental Clinics, Dental Doctors"
Pearly Smile Dental Clinic,"M04 Mezzanine Floor, New Awqaf Bldg, Khalidiya Street",Abu Dhabi,02 6333333,Dental Clinics
Petra Medical Care Centre,"M2, Escape Tower Building, Golden Camera Photography, Muroor Road",Abu Dhabi,02 6444444,Dental Clinics
Rocco's Specialized Dental Clinic, Dr,"2nd Flr, Al Muhairy Shopping Centre, Khalidiya",Abu Dhabi,02 6333333,Dental Clinics
Royal Specialist Medical Centre,"M Flr, Royal Pharmacy Bldg, Next to Choithram S/Market, Khalidiya",Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
Royal Specialized Dental Clinic,Near Airlines Restaurant, Electra St,Abu Dhabi,02 6333333,Dental Clinics
Scandcare Dental Clinic,"M Flr, Inma Pharmacy Bldg, Opp Al Masaood Travels, Al Nasr St",Abu Dhabi,02 6222222,Dental Clinics
Specialized Dental & Orthodontic,City : Abu Dhabi,Abu Dhabi,02 4444444,Dental Clinics
Style Smile Advanced Dental Center,"Beside NBAD, Corniche Rd",Abu Dhabi,02 6666666,Dental Clinics
Suweihan Medical and Dental Centre,United Bank Bldg, Opp Hamdan Centre,Abu Dhabi,02 6222222,"Dental Clinics, Dental Implant, Cosmetic Dentists"
Swiss Dental Clinic,"204, NEXT Bldg, Najda St",Abu Dhabi,02 6222222,Dental Clinics
Taj Dental Centre,"M-03, Al Ain Jewellery Bldg, Near Lari Exchange, Liwa St",Abu Dhabi,02 6222222,Dental Clinics
Talat Medical Centre and Pharmacy,"Near Fatima S/Market, Old Passport Rd",Abu Dhabi,02 6444444,"Dental Clinics, General Clinics, General Doctors"
Universal Hospital,"Wellness Towers A and B, 5056 Airport Road, Behind Al Hilal Bank",Abu Dhabi,02 5999999,"Dental Clinics, Dental, Dentists and Dental Clinics"
Zenith Medical and Dental Centre,"307, Sultaco Bldg, Al Najda St",Abu Dhabi,02 6222222,Dental Clinics
CosmeSurge,"Opp PWD, Delma St",Abu Dhabi,02 4444444,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
