"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score"
"Dr Joy Dental Clinic","","Dubai","","","+971 4 3285332","","","","","",""
"Dr Mansoori Clinic","","Dubai","","","+971 4 2944444","","","","","",""
"Dr Michael's Dental Clinic","","Dubai","","","+971 4 3397700","","","","","",""
"Dr Narriman Nassir Dental Clinic","","Dubai","","","+971 4 2345678","","","","","",""
"Dr Pauls Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Dr Pauls Dental Clinic LLC","","Dubai","","","+971 4 3944444","","","","","",""
"Dr. Ossama Bazzi Medical General Dental Clinic","","Dubai","","","+971 4 2977777","","","","","",""
"Dr.Namir Subhi Ahmed Dental Clinic","","Dubai","","","+971 4 2944444","","","","","",""
"Dream Smile Dental Clinic","","Dubai","","","+971 4 5778899","","","","","",""
"DRFK Turkish International Day Surgery Center LLC","","Dubai","","","058 8111111","","","","","",""
"Drs Hadi and Bergmann Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"E Nicolas and Asp","","Near Beach Park, Jumeirah 3","","","Dubai","","","","","",""
"Emirates Diagnostic Clinic","","Dubai","","","+971 4 3311111","","","","","",""
"Ferdows Medical Center","","Dubai","","","056 4111111","","","","","",""
"French Dental Clinic","","Dubai","","","+971 4 4298228","","","","","",""
"German Dental & Neuromuscular Clinic","","Dubai","","","+971 4 3755391","","","","","",""
"German Dental Oasis","","Dubai","","","+971 4 3635367","","","","","",""
"Ghodousi Medical Center","","Dubai","","","+971 4 2222222","","","","","",""
"Go Dental Clinic","","Dubai","","","+971 4 3979522","","","","","",""
"Gonzales Dental Clinic","","Dubai","","","+971 4 3977555","","","","","",""
"Gravity Dental Poly Clinic","","Dubai","","","050 5111111","","","","","",""
"Gulf Medical Centre","","Dubai","","","+971 4 2626000","","","","","",""
"Hadi Clinic","","Dubai","","","+971 4 2977777","","","","","",""
"Hadiya Dental Center","","Dubai","","","+971 4 2898888","","","","","",""
"Hamly Medical Centre","","Dubai","","","+971 4 3355555","","","","","",""
"Harmony Medical Center LLC","","Dubai","","","+971 4 3944444","","","","","",""
"Hasan Achira Dentist","","203, Rashed Pharmacy Bldg, Riqqa St, Deira","","","Dubai","","","","","",""
"Hellenic Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Helmi's Specialized Implantology and Dental Center","","M 13, Arabilla Bldg, Abv Dubai Bank, Al Whida St, Deira","","","Dubai","","","","","",""
"Hey Dental Clinic DMCC","","Dubai","","","+971 4 4567890","","","","","",""
"Hibah Shata Specialized Dental Clinic","","505, Al Wahda Bldg, Port Saeed, Deira","","","Dubai","","","","","",""
"Hollywod Smile Clinic","","Dubai","","","+971 4 4298228","","","","","",""
"Hollywood Smile Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Houston Clinic","","Dubai","","","+971 4 3855555","","","","","",""
"Hussam Dental Clinic","","Dubai","","","+971 4 3355555","","","","","",""
"Ibn Seina Medical Centre","","Dubai","","","+971 4 2222222","","","","","",""
"Ibrahim Arab (Dr) Dental Clinic","","Dubai","","","+971 4 2222222","","","","","",""
"Ilham Dental Clinic","","Dubai","","","+971 4 2944444","","","","","",""
"International Dental Clinic","","Dubai","","","+971 4 3433315","","","","","",""
"Jack Dental Clinic","","111, Baniyas Complex, Nasr Sq, Deira","","","Dubai","","","","","",""
"John Dental Clinic","","303, Comml Bank Bldg, Opp Union Co-op Society, Al Ghusais","","","Dubai","","","","","",""
"Joseph Ghrayeb Medical Centre","","110, Zabeel Bldg, Near GPO, Karama","","","Dubai","","","","","",""
"Jumeira Beach Dental Centre","","Dubai","","","+971 4 3444444","","","","","",""
"Khyber Medical Centre","","Dubai","","","058 5111111","","","","","",""
"La Perla Dental Clinic DMCC","","Dubai","","","+971 4 4355678","","","","","",""
"Leila Hariri Dental & Medical Aesthetics","","Dubai","","","+971 4 3444444","","","","","",""
"Liberty Dental Clinic","","Dubai","","","+971 4 3944444","","","","","",""
"Lookswoos Dental Clinic","","Dubai","","","+971 4 4444444","","","","","",""
"Luxe Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Mahboubi Poly Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Majed Al Azawi Orthodontic and Dental Center","","Popeyes Bldg, Rigga St, Deira","","","Dubai","","","","","",""
"Mallya's Dental Clinic","","25, Al Abbas Bldg, Bank St, Bur Dubai","","","Dubai","","","","","",""
"McBody Clinic LLC","","Dubai","","","+971 4 3888888","","","","","",""
"Mehrish Medical Clinic","","Dubai","","","+971 4 3211111","","","","","",""
"Michael's Dental Clinic","","Opp Jumeirah Post Office, Al Wasl Rd, Jumeirah 2","","","Dubai","","","","","",""
"Modern Dental Clinic","","Dubai","","","+971 4 3635367","","","","","",""
"Mohamed Iqbal Homeopathiq Medical Center","","Karama","","","Dubai","","","","","",""
"Mohd Imad Dental Clinic","","1, Saif Bldg, Hatta Rd","","","Dubai","","","","","",""
"Munich Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Nasser Najaf Pour Dental Clinic","","Abu Baker Al Siddique St, Hor Al Anz","","","Dubai","","","","","",""
"Newyork Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Pearl Medical Clinic","","Dubai","","","+971 4 2222222","","","","","",""
"Pretty Smile Dental Clinic","","Dubai","","","+971 4 8888888","","","","","",""
"Providence Dental Centre","","Dubai","","","+971 4 3977555","","","","","",""
"Ravari's Dental Clinic","","104, Al Aman House, Port Saeed, Deira","","","Dubai","","","","","",""
"Reveal Medical Center","","Dubai","","","+971 4 3855555","","","","","",""
"Samaa Medical Centre","","Dubai","","","+971 4 3944444","","","","","",""
"Sameday Dental Implants","","Dubai","","","+971 4 3156000","","","","","",""
"Sansaya Clinic","","Dubai","","","+971 4 3944444","","","","","",""
"Scandinavian Dental Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Seven Dental Centre","","Dubai","","","+971 4 3944444","","","","","",""
"Shams Moopen's Dental Practice","","Dubai","","","+971 4 3355555","","","","","",""
"Sky Clinic Dental Center JLT","","Dubai","","","+971 4 3555555","","","","","",""
"Smile Care Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Swaid Orthodontic Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Swedish Dental Clinic","","Dubai","","","+971 4 2222222","","","","","",""
"Swiss Dental Clinic","","Sh Zayed Rd","","","Dubai","","","","","",""
"Talass Orthodontic and Dental Center","","Dubai","","","+971 4 3444444","","","","","",""
"The Dental Center FZ LLC","","Dubai","","","+971 4 3755391","","","","","",""
"Top Smile Dental Clinic","","Dubai","","","058 5111111","","","","","",""
"Trucare Clinic","","Dubai","","","+971 4 3455555","","","","","",""
"Unique Smile Clinic","","Dubai","","","+971 4 2522222","","","","","",""
"Versailles Dental Clinic","","Dubai","","","+971 4 4298228","","","","","",""
"Vitalix Polyclinic","","Dubai","","","052 9111111","","","","","",""
"White Smile Dental Clinic","","Dubai","","","+971 4 2522222","","","","","",""
"Adnan Ballout Clinic","","1st Flr, Albanna Plaza Bldg, Jamal Abdul Naser St","","","Sharjah","","","","","",""
"Ahlan Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Afdal Medical Centre","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Jawhara Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Jazeerah Dental Clinic","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Maliky Dental Clinic","","Sharjah","","","+971 6 5333333","","","","","",""
"Al Waha Medical Centre","","Sharjah","","","056 9111111","","","","","",""
"Al Zahra Pvt Hospital","","Sharjah","","","+971 6 5633333","","","","","",""
"Alraid Modern Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Amal Abdel Kader Dental Clinic","","Sharjah","","","+971 6 5533333","","","","","",""
"Annie Dental Clinic","","Sharjah","","","+971 6 5533333","","","","","",""
"Dablan Dental Clinic","","Sharjah","","","+971 6 5533333","","","","","",""
"Davis Dental Clinic","","Sharjah","","","+971 6 5733333","","","","","",""
"Delta Medical Clinic","","Sharjah","","","+971 6 5633333","","","","","",""
"Diana Dental Clinic","","Sharjah","","","+971 6 5633333","","","","","",""
"Doctors Medical Centre","","Sharjah","","","+971 6 5633333","","","","","",""
"Dr. Ahmed Yousry Specialized Dental Clinic","","Sharjah","","","+971 6 5733333","","","","","",""
"German Pearl Specialist Dental Clinic","","Sharjah","","","+971 6 5733333","","","","","",""
"Hannover Medical Center","","Sharjah","","","+971 6 5433333","","","","","",""
"Joseph Dental Clinic","","Beside Giant S/Market, Jamal Abdul Nasser St","","","Sharjah","","","","","",""
