"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score"
"Care Well Medical Centre","","Abu Dhabi","","","+971 2 6777777","","","","","",""
"Daou Dental Centre","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Duo Prime Care Medical Center Sole Proprietorship LLC","","Abu Dhabi","","","+971 2 5555555","","","","","",""
"Elitecare Medical Center","","Abu Dhabi","","","+971 2 5667788","","","","","",""
"France Dental and Orthodontics Clinic","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"French Dental & Aesthetic Center","","Abu Dhabi","","","+971 2 4444444","","","","","",""
"Gentle Dental Care Centre","","Abu Dhabi","","","+971 2 6777777","","","","","",""
"Grace Medical Center","","Abu Dhabi","","","+971 2 4444444","","","","","",""
"Haddad Medical and Dental Center","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Hikma Medical Centre","","Hamdan St","","","Abu Dhabi","","","","","",""
"Hyderabad Medical Centre","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"Ideal Medical Center LLC","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"Jeiroudi Orthodontic Centre","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Kalloor Medical Centre","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Lilac Medical Centre","","Abu Dhabi","","","+971 2 2222222","","","","","",""
"Maher Dental Centre","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Middle East Specialised Medical Centre","","Abu Dhabi","","","+971 2 4444444","","","","","",""
"Modern German Dental Clinic","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Mubarak Shaikh's Medical Centre","","105, Alya Pharmacy Bldg, Electra St","","","Abu Dhabi","","","","","",""
"New National Medical Centre LLC","","Abu Dhabi","","","+971 2 5555555","","","","","",""
"Noble Medical Centre","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Nora Medical Centre","","Abu Dhabi","","","+971 2 6444444","","","","","",""
"Oais's Braces Center","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Ocean Dental and Orthodontic Center","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Paris Dental Center","","Abu Dhabi","","","+971 2 6777777","","","","","",""
"Pearly Smile Dental Clinic","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Petra Medical Care Centre","","Abu Dhabi","","","+971 2 6444444","","","","","",""
"Rocco's Specialized Dental Clinic","","2nd Flr, Al Muhairy Shopping Centre, Khalidiya","","","Abu Dhabi","","","","","",""
"Royal Specialist Medical Centre","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Royal Specialized Dental Clinic","","Electra St","","","Abu Dhabi","","","","","",""
"Specialized Dental & Orthodontic","","Abu Dhabi","","","+971 2 4444444","","","","","",""
"Style Smile Advanced Dental Center","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Suweihan Medical and Dental Centre","","Opp Hamdan Centre","","","Abu Dhabi","","","","","",""
"Taj Dental Centre","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"Talat Medical Centre and Pharmacy","","Abu Dhabi","","","+971 2 6444444","","","","","",""
"Zenith Medical and Dental Centre","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"CosmeSurge","","Abu Dhabi","","","+971 2 4444444","","","","","",""
